연도,1월 발생건수,1월 환자수,2월 발생건수,2월 환자수,3월 발생건수,3월 환자수,4월 발생건수,4월 환자수,5월 발생건수,5월 환자수,6월 발생건수,6월 환자수,7월 발생건수,7월 환자수,8월 발생건수,8월 환자수,9월 발생건수,9월 환자수,10월 발생건수,10월 환자수,11월 발생건수,11월 환자수,12월 발생건수,12월 환자수,발생건수 합계,환자수 합계
2002,4,266,2,179,6,184,12,454,10,298,8,231,5,349,13,212,10,276,4,97,2,354,2,80,78,2980
2003,2,92,0,0,26,2525,7,208,25,1916,19,1501,5,88,17,364,28,951,4,88,2,176,0,0,135,7909
2004,3,148,3,58,3,112,14,742,35,2678,36,2626,12,495,9,372,23,1832,9,503,10,447,8,375,165,10388
2005,4,142,2,78,3,44,16,865,12,689,16,1062,11,346,13,639,15,788,6,51,5,449,6,558,109,5711
2006,6,52,4,52,8,319,8,75,6,809,56,4567,31,348,42,1514,35,1161,15,216,8,190,40,1530,259,10833
2007,31,730,28,277,41,820,42,959,65,1296,56,1803,49,849,76,754,44,1343,25,287,32,294,21,274,510,9686
2008,13,177,14,144,23,680,31,751,28,627,36,1256,28,354,38,538,51,1207,37,454,29,440,26,859,354,7487
2009,14,126,22,279,20,753,26,709,36,1232,29,1318,20,378,18,324,20,301,7,416,7,40,9,123,228,5999
2010,9,142,17,430,15,364,20,893,15,201,29,1908,34,561,41,770,35,783,18,335,15,362,23,469,271,7218
2011,11,137,14,351,21,690,26,827,19,1017,35,414,23,740,38,1482,25,809,9,194,16,267,12,177,249,7105
2012,9,294,21,392,11,296,17,387,28,680,27,503,20,300,28,590,38,1403,24,189,17,346,26,678,266,6058
2013,22,286,4,50,19,327,24,896,20,252,24,677,26,611,15,405,18,450,15,141,21,492,27,371,235,4958
2014,9,56,14,80,24,1063,22,371,35,1548,36,955,33,484,43,1429,27,261,24,257,32,342,50,620,349,7466
2015,36,322,13,149,23,412,30,402,27,493,31,752,34,527,31,1729,28,400,34,299,24,221,19,275,330,5981
2016,14,98,9,51,25,358,39,554,43,673,36,761,22,280,62,2388,39,425,41,731,37,446,32,397,399,7162
2017,20,121,18,89,16,146,26,409,40,605,44,916,46,429,46,1555,31,745,16,332,17,179,16,123,336,5649
2018,17,125,15,194,37,816,25,444,31,853,28,732,35,630,36,1536,56,5239,45,608,23,185,15,142,363,11504
2019,21,216,16,109,19,504,31,543,35,438,37,532,28,550,25,333,22,136,16,227,18,236,18,251,286,4075
2020,28,217,9,75,3,117,8,112,5,19,19,488,30,688,18,160,16,157,11,171,10,252,7,78,164,2534
2021,9,292,11,298,21,401,24,417,18,194,24,343,28,1293,46,878,23,335,11,222,14,142,16,345,245,5160
2022,9,136,7,123,13,422,12,148,27,503,41,1028,55,650,31,538,28,581,22,437,26,308,33,536,304,5410
2023,332,4650,279,3848,423,11874,512,12005,604,17893,704,24837,575,10950,686,18510,612,19583,393,6255,365,6168,406,8261,5891,144834
